"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","MAN TS SHORT","DOMYOS","T-SHIRT",8543989,"1216.290000000001","158",1070,"1659","10198.96999999997","306"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","POSTED CLOTH","SOLOGNAC","JACKET",8522776,"5439.449999999993","598",447,"464","31096.770000000044","141"
"CLOTHING","CYCLING UNIVERS","MTB BIKES AND E","W WARM WEA HIKG","ROCKRIDER","PADDED CYCLING SHORTS",8555880,"1663.8900000000008","351",1052,"1215","9383.739999999974","589"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M TRAIL CLOTHES","KIPRUN","SHORTS",8677751,"2698.919999999998","360",728,"821","14694.119999999952","233"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M RUN WARM WTHR","KIPRUN","RUNNING TIGHTS",8650652,"1309.5800000000002","515",389,"448","6902.729999999984","221"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","W SAILWEAR","TRIBORD","LONG-SLEEVED T-SHIRT",8676277,"2181.91","381",662,"716","10116.049999999967","221"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L2","QUECHUA","FLEECE",8648304,"5145.159999999982","387",1795,"1988","24400.569999999992","642"
"CLOTHING","FITNESS WELLNES","YOGA","WOMAN YOGA","KIMJALY","TANK TOP",8736826,"2060.3100000000004","503",553,"585","11024.309999999965","216"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8655107,"1153.350000000001","524",1153,"1374","7486.0899999999765","303"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN SHORT TK","DOMYOS","TANK TOP",8645599,"1097.7100000000005","459",850,"1147","7096.819999999984","329"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","TROUSERS/SHIRT","SOLOGNAC","TROUSERS",8771375,"797.5800000000002","408",117,"121","1716.0900000000006","30"
"CLOTHING","FITNESS WELLNES","DANCES","DANCE ACCESS","STAREVER","TIGHTS",8608538,"982.7700000000007","392",743,"1123","7222.959999999974","219"
"CLOTHING","GOLF UNIVERS","GOLF","W MILD W. POLO","INESIS","SHORT-SLEEVED POLO SHIRT",8354074,"579.2100000000003","366",252,"494","2778.229999999998","117"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT MERINOS","FORCLAZ","LONG-SLEEVED T-SHIRT",8609386,"7738.829999999987","266",749,"803","39059.12000000002","214"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","M SKI CLOT OCC","WEDZE","JACKET",8755209,"9366.249999999989","402",816,"842","36108.94000000002","359"
