"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG M COLD WTHR","KALENJI","LEGGINGS",8394836,"1017",442,"543","5390.739999999985","115"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","TRACKSUIT BOY","DOMYOS","TRACKSUIT",8640183,"1011",332,"363","4737.5599999999895","119"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","ADULTS SKI AND","WEDZE","SOCKS",8759712,"1011",743,"1252","7751.909999999987","138"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W TT APP OUTFIT","FORCLAZ","LONG-SLEEVED T-SHIRT",8573881,"1011",716,"769","17239.059999999954","175"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W BRA","DOMYOS","BRA",8643064,"1008",325,"366","4712.279999999988","194"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8646177,"1006",406,"468","5163.989999999985","167"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT MERINOS","FORCLAZ","LONG-SLEEVED T-SHIRT",8670570,"1006",623,"687","23574.79","166"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L3","QUECHUA","OVERTROUSERS",8545325,"1002",345,"390","10127.939999999979","184"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","TROUSERS/SHIRT","SOLOGNAC","TROUSERS",8602527,"998",166,"176","6898.849999999989","61"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","JACKET",8750512,"998",171,"195","2669.2299999999977","118"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L3","QUECHUA","JACKET",8595740,"998",343,"378","14707.919999999984","169"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8512180,"992",208,"235","1374.4500000000003","180"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MOUNT HIKE L3","QUECHUA","OVERTROUSERS",8545324,"991",380,"435","14157.10999999996","146"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","TROUSERS",8608745,"988",159,"190","7558.919999999986","82"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","JR RIDING WEAR","FOUGANZA","BREECHES",8767068,"986",233,"260","5868.319999999983","92"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W BRA","DOMYOS","BRA",8578234,"986",213,"264","3430.7199999999957","136"
"CLOTHING","FITNESS WELLNES","DANCES","W MODERN CLOTH","STAREVER","LEGGINGS",8357254,"983",302,"407","3453.1599999999926","123"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SNOW HIKE L3","QUECHUA","JACKET",8754004,"979",110,"115","2159.28","43"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","SHORTS",8644160,"978",446,"666","3293.349999999995","201"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L2","QUECHUA","FLEECE",966817,"972",1060,"1155","9273.549999999976","309"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","TROUSERS",8503823,"971",594,"745","11826.889999999978","432"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","LEGGINGS",8738241,"971",128,"135","1152.9800000000005","33"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT MERINOS","FORCLAZ","LEGGINGS",8501932,"969",700,"779","25753.57000000003","135"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC M WARM WTHR","KALENJI","T-SHIRT",8488034,"969",857,"1309","6885.619999999974","271"
"CLOTHING","FITNESS WELLNES","YOGA","WM YOGA COLD W","KIMJALY","LONG-SLEEVED T-SHIRT",8548910,"967",476,"487","5091.099999999984","147"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","RIDING WEAR WIN","FOUGANZA","BREECHES",8547865,"962",286,"360","5752.679999999991","128"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","TROUSERS",8493789,"960",268,"314","9697.969999999988","108"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM ADV SSUIT","OLAIAN","BIKINI TOP",8403516,"956",298,"336","2028.8700000000008","223"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT MERINOS","FORCLAZ","BOXERS",8542384,"954",530,"758","13861.40999999995","99"
"CLOTHING","HIKING TREKKING","HIKING TREK GEA","TROPICAL TREK","FORCLAZ","LONG-SLEEVED T-SHIRT",8644286,"951",207,"233","4943.53999999999","87"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L2","QUECHUA","FLEECE",8648300,"949",536,"585","4222.109999999989","194"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SNB CLTHG","DREAMSCAPE","SKI TROUSERS",8773092,"948",220,"255","9438.81999999999","137"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","B.REG.PIST JKT","WEDZE","TROUSERS",8645272,"945",1187,"1395","38154.45000000001","435"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","TROUSERS",8558721,"944",1080,"1328","16773.31999999998","657"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT MERINOS","FORCLAZ","LONG-SLEEVED T-SHIRT",8670229,"942",481,"549","19650.66999999998","116"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L2","QUECHUA","FLEECE",8648298,"941",514,"538","3946.5399999999913","142"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","LEGGIN JKT GIRL","DOMYOS","LEGGINGS",8555052,"940",495,"657","3675.4699999999943","204"
